surname,name,patronymic,position,faculty,department,spin,spin link,orcid,orcid link,scopus author id,scopus link,researcher id,researcher link
Яковлев,Алексей,Борисович,заведующий кафедрой,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",8194-5800,http://elibrary.ru/author_profile.asp?spin=8194-5800,0000-0002-1987-2138,http://orcid.org/0000-0002-1987-2138,56503089200,http://www.scopus.com/authid/detail.uri?authorId=56503089200,E-7451-2014,http://www.researcherid.com/rid/E-7451-2014
Аверьянов,Геннадий,Сергеевич,профессор,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
Блинов,Виктор,Николаевич,профессор,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0000-0002-9309-4610,http://orcid.org/0000-0002-9309-4610,56503115200,http://www.scopus.com/authid/detail.uri?authorId=56503115200,0,0
Бражникова,Ксения,Алексеевна,научный сотрудник,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
Вавилов,Игорь,Сергеевич,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",3468-6744,http://elibrary.ru/author_profile.asp?spin=3468-6744,0000-0002-2409-1774,http://orcid.org/0000-0002-2409-1774,56610211900,http://www.scopus.com/authid/detail.uri?authorId=56610211900,0,0
Власов,Юрий,Александрович,заведующий лабораторией,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
Давыдович,Денис,Юрьевич,младший научный сотрудник,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",8904-4340,http://elibrary.ru/author_profile.asp?spin=8904-4340,0000-0001-8778-1337,http://orcid.org/0000-0001-8778-1337,57193768965,http://www.scopus.com/authid/detail.uri?authorId=57193768965,L-3363-2016,http://www.researcherid.com/rid/L-3363-2016
ДЗЫНА,Михаил,Валентинович,ассистент,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
Дронь,Михаил,Михайлович,старший преподаватель,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",4484-6528,http://elibrary.ru/author_profile.asp?spin=4484-6528,0000-0002-6659-8039,http://orcid.org/0000-0002-6659-8039,57193434016,http://www.scopus.com/authid/detail.uri?authorId=57193434016,E-9187-2014,http://www.researcherid.com/rid/E-9187-2014
Жариков,Константин,Игоревич,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",9469-0544,http://elibrary.ru/author_profile.asp?spin=9469-0544,0000-0002-4966-1788,http://orcid.org/0000-0002-4966-1788,57192074889,http://www.scopus.com/authid/detail.uri?authorId=57192074889,E-9087-2014,http://www.researcherid.com/rid/E-9087-2014
Иордан,Юлия,Вячеславовна,младший научный сотрудник,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",7175-4795,http://elibrary.ru/author_profile.asp?spin=7175-4795,0000-0002-6389-4107,http://orcid.org/0000-0002-6389-4107,57193770306,http://www.scopus.com/authid/detail.uri?authorId=57193770306,0,0
Калашников,Борис,Александрович,профессор,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",7574-1323,http://elibrary.ru/author_profile.asp?spin=7574-1323,0000-0002-9946-3480,http://orcid.org/0000-0002-9946-3480,6701318766,http://www.scopus.com/authid/detail.uri?authorId=6701318766,M-9643-2014,http://www.researcherid.com/rid/M-9643-2014
Кармышаков,Руслан,Альбертович,ассистент,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
