"Title"	"ISSN"	"Languages (three-letter ISO language codes)"
"20 ET 21 - REVUE D HISTOIRE"	"2649-6100|2649-664X"	""
"2D MATERIALS"	"2053-1583"	"ENG"
"3 BIOTECH"	"2190-572X|2190-5738"	"ENG"
"3C EMPRESA"	"2254-3376"	"SPA"
"3C TECNOLOGIA"	"2254-4143"	"SPA"
"3C TIC"	"2254-6529"	"SPA"
"3D PRINTING AND ADDITIVE MANUFACTURING"	"2329-7662|2329-7670"	"ENG"
"3D PRINTING IN MEDICINE"	"2365-6271"	"ENG"
"3L - LANGUAGE LINGUISTICS LITERATURE - THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES"	"0128-5157|2550-2247"	"ENG"
"452 F - REVISTA DE TEORIA DE LA LITERATURA Y LITERATURA COMPARADA"	"2013-3294"	"CAT|ENG|SPA"
"4OR - A QUARTERLY JOURNAL OF OPERATIONS RESEARCH"	"1614-2411|1619-4500"	"ENG"
"AAA, ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK"	"0171-5410"	"GER|MUL"
"AAC: AUGMENTATIVE AND ALTERNATIVE COMMUNICATION"	"0743-4618|1477-3848"	"ENG"
"AACE CLINICAL CASE REPORTS"	"2376-0605"	"ENG"
"AACL BIOFLUX"	"1844-8143|1844-9166"	"ENG"
"AACN ADVANCED CRITICAL CARE"	"1559-7768|1559-7776"	"ENG"
"AANA JOURNAL"	"0094-6354"	"ENG"
"AAO JOURNAL"	"2375-5776"	"ENG"
"AAPG BULLETIN"	"0149-1423|1558-9153"	"ENG"
"AAPP ATTI DELLA ACCADEMIA PELORITANA DEI PERICOLANTI, CLASSE DI SCIENZE FISICHE, MATEMATICHE E NATURALI"	"0365-0359|1825-1242"	"ENG|ITA"
"A&A PRACTICE"	"2575-3126"	"ENG"
"AAPS JOURNAL"	"1550-7416"	"ENG"
"AAPS PHARMSCITECH"	"1530-9932"	"ENG"
"AAS OPEN RESEARCH"	"2515-9321"	"ENG"
"AATCC JOURNAL OF RESEARCH"	"2472-3444|2330-5517"	"ENG"
"AATCC REVIEW"	"1532-8813"	"ENG"
"ABAC JOURNAL"	"0858-0855"	"ENG"
"ABACUS - A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES"	"0001-3072|1467-6281"	"ENG"
"ABA JOURNAL"	"0747-0088"	"ENG"
"ABAKOS"	"2316-9451"	"ENG|POR"
"ABANICO VETERINARIO"	"2007-4204|2448-6132"	"SPA"
"A/B: AUTO/BIOGRAPHY STUDIES"	"2151-7290"	"ENG"
"ABCD - ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA - BRAZILIAN ARCHIVES OF DIGESTIVE SURGERY"	"0102-6720|2317-6326"	"ENG|POR"
"ABDOMINAL RADIOLOGY"	"2366-004X|2366-0058"	"ENG"
"ABE JOURNAL"	"2275-6639"	"ENG|FRE|GER|ITA|SPA"
"ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG"	"0025-5858|1865-8784"	"GER"
"AB IMPERIO - STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST - SOVIET SPACE"	"2164-9731|2166-4072"	"ENG|MUL|RUS"
"ABIOTECH"	"2096-6326|2662-1738"	"ENG"
"ABORIGINAL HISTORY JOURNAL"	"0314-8769|1837-9389"	"ENG"
"ABORIGINAL POLICY STUDIES"	"1923-3299"	"ENG|FRE"
"ABRIU - ESTUDOS DE TEXTUALIDADE DO BRASIL GALICIA E PORTUGAL"	"2014-8526|2014-8534"	"CAT|ENG|GLG|POR|SPA"
"ABSTRACT AND APPLIED ANALYSIS"	"1085-3375|1687-0409"	"ENG"
"ACADEME"	"0190-2946"	"ENG"
"ACADEMIA ECONOMIC PAPERS"	"1018-161X|1810-4851"	"CHI|ENG"
"ACADEMIA (GREECE)"	"2241-1402"	"ENG"
"ACADEMIA REVISTA LATINOAMERICANA DE ADMINISTRACION"	"1012-8255|2056-5127"	"SPA"
"ACADEMIA Y VIRTUALIDAD"	"2011-0731"	"SPA"
"ACADEMIA. АРХИТЕКТУРА И СТРОИТЕЛЬСТВО"	"2077-9038"	"RUS"
"ACADEMICA TURISTICA"	"1855-3303|2335-4194"	"ENG"
"ACADEMIC EMERGENCY MEDICINE"	"1069-6563|1553-2712"	"ENG"
"ACADEMIC FORENSIC PATHOLOGY"	"1925-3621"	"ENG"
"ACADEMIC JOURNAL OF INTERDISCIPLINARY STUDIES"	"2281-3993|2281-4612"	"ENG"
"ACADEMIC JOURNAL OF MANUFACTURING ENGINEERING"	"1583-7904"	"ENG"
